OBJECT,TABLE NAME,Comments,,,
TABLE,PA_PROJECT_ALL,"PA_PROJECTS_ALL stores the highest units of work defined in Oracle Projects at which funding can be allocated and at which revenue, invoices, unbilled receivables, and unearned revenue are generated and maintained. At the project level, users can specify the methods to be used for revenue accrual and billing, and the invoice formats to be used for invoicing. A project is broken down into one or more tasks. All projects can be funded by one or more agreements.",,,

OBJECT,Name,Datatype,Length,Mandatory,Comments
COLUMN,PROJECT_ID,NUMBER,-15,Yes,The system-generated number that uniquely identifies the project
COLUMN,NAME,VARCHAR2,-30,Yes,User-defined name that uniquely identifies the project
COLUMN,SEGMENT1,VARCHAR2,-25,Yes,The project number that uniquely identifies the project. The project number can be user-entered or system-generated as defined in the implementation options
COLUMN,LAST_UPDATE_DATE,DATE,,Yes,Standard Who Column
COLUMN,LAST_UPDATED_BY,NUMBER,-15,Yes,Standard Who Column
COLUMN,CREATION_DATE,DATE,,Yes,Standard Who Column
COLUMN,CREATED_BY,NUMBER,-15,Yes,Standard Who Column
COLUMN,LAST_UPDATE_LOGIN,NUMBER,-15,Yes,Standard Who Column
COLUMN,PROJECT_TYPE,VARCHAR2,-20,Yes,The project type that classifies the project and defaults project information upon project entry
COLUMN,CARRYING_OUT_ORGANIZATION_ID,NUMBER,-15,Yes,The identifier of the organization that is responsible for the project work
COLUMN,PUBLIC_SECTOR_FLAG,VARCHAR2,-1,Yes,Flag that indicates whether the project is in the public sector or the private sector
COLUMN,PROJECT_STATUS_CODE,VARCHAR2,-30,Yes,The status of the project.
COLUMN,DESCRIPTION,VARCHAR2,-250,,The description of the project
COLUMN,START_DATE,DATE,,,The date on which the project starts; expenditure items with item dates before the start date cannot be entered for the project
COLUMN,COMPLETION_DATE,DATE,,,The date on which the project is completed; expenditure items with item dates after the completion date cannot be entered for the project
COLUMN,CLOSED_DATE,DATE,,,The date that the project was closed by changing the project status to Closed
COLUMN,DISTRIBUTION_RULE,VARCHAR2,-30,,The distribution rule that specifies the contract project's revenue accrual and billing method
COLUMN,LABOR_INVOICE_FORMAT_ID,NUMBER,-15,,The identifier of the invoice format used to group and format labor expenditure items into invoice lines
COLUMN,NON_LABOR_INVOICE_FORMAT_ID,NUMBER,-15,,The identifier of the invoice format used to group and format non-labor expenditure items into invoice lines
COLUMN,RETENTION_INVOICE_FORMAT_ID,NUMBER,-15,,The identifier of the invoice format used to format a retention line on the project's invoices
COLUMN,RETENTION_PERCENTAGE,NUMBER,-17,,The percentage to be retained on each invoice generated for the project
